1,Cardio Champion,Fitness,839,4
2,Stress Buster,Health,331,NULL
3,Protein Powerhouse,Diet,847,NULL
4,Strength Builder,Fitness,760,NULL
5,Mindfulness Mentor,Health,578,NULL
6,Fiber Fanatic,Diet,972,NULL
7,Flexibility Expert,Fitness,421,5
8,Resilience Rockstar,Health,883,28
9,Healthy Fats Advocate,Diet,275,50
10,Endurance Master,Fitness,648,40
11,Calm Connoisseur,Health,515,17
12,Hydration Hero,Diet,703,35
13,Agility Ace,Fitness,401,40
14,Gratitude Guru,Health,691,NULL
15,Veggie Virtuoso,Diet,598,NULL
16,Speedster,Fitness,693,NULL
17,Emotional Balance Expert,Health,455,NULL
18,Sugar Slayer,Diet,457,NULL
19,Power Lifter,Fitness,252,28
20,Self-Care Specialist,Health,489,49
21,Whole Grain Warrior,Diet,656,33
22,Yoga Guru,Fitness,721,50
23,Positive Thinking Pro,Health,689,44
24,Portion Control Pro,Diet,404,32
25,HIIT Hero,Fitness,503,23
26,Meditation Master,Health,813,NULL
27,Snack Savvy,Diet,412,NULL
28,Core Crusher,Fitness,596,NULL
29,Mental Clarity Champion,Health,149,NULL
30,Balanced Meal Maven,Diet,875,NULL
