101,2,Increase Cardiovascular Endurance,"Aim for at least 30 minutes of moderate-intensity cardio, such as brisk walking or cycling, 5 times a week to boost your cardiovascular fitness and overall stamina",2024-01-02 00:00:00,Incomplete
102,2,Increase Daily Fiber Intake,"Include more fruits, vegetables, and whole grains in your diet, aiming for at least 25-30 grams of fiber daily to support digestive health and maintain steady blood sugar levels",2023-09-30 00:00:00,Incomplete
103,1,Build Muscle Strength,"Incorporate strength training exercises, like weightlifting or bodyweight exercises, 2-3 times a week, focusing on all major muscle groups to increase muscle mass and strength",2023-09-30 00:00:00,Completed
104,2,Reduce Added Sugar Consumption,"Limit foods and beverages high in added sugars, like sodas and sugary snacks, and opt for natural sweeteners like fruit to help manage your weight and reduce the risk of chronic diseases",2024-01-13 00:00:00,Incomplete
105,2,Improve Flexibility,"Practice stretching or yoga routines for 15-20 minutes daily to enhance your flexibility, reduce muscle tension, and improve your range of motion",2024-07-10 00:00:00,Incomplete
106,3,Maintain Hydration,"Drink at least 8 glasses (64 ounces) of water a day, and adjust based on activity level and climate, to stay hydrated, support bodily functions, and improve overall well-being",2024-12-19 00:00:00,Incomplete
107,3,Increase Cardiovascular Endurance,"Aim for at least 30 minutes of moderate-intensity cardio, such as brisk walking or cycling, 5 times a week to boost your cardiovascular fitness and overall stamina",2024-05-14 00:00:00,Incomplete
108,4,Increase Daily Fiber Intake,"Include more fruits, vegetables, and whole grains in your diet, aiming for at least 25-30 grams of fiber daily to support digestive health and maintain steady blood sugar levels",2024-10-27 00:00:00,Incomplete
109,5,Build Muscle Strength,"Incorporate strength training exercises, like weightlifting or bodyweight exercises, 2-3 times a week, focusing on all major muscle groups to increase muscle mass and strength",2024-09-19 00:00:00,Incomplete
110,6,Reduce Added Sugar Consumption,"Limit foods and beverages high in added sugars, like sodas and sugary snacks, and opt for natural sweeteners like fruit to help manage your weight and reduce the risk of chronic diseases",2024-03-23 00:00:00,Incomplete
111,7,Improve Flexibility,"Practice stretching or yoga routines for 15-20 minutes daily to enhance your flexibility, reduce muscle tension, and improve your range of motion",2024-07-10 00:00:00,Incomplete
112,8,Maintain Hydration,"Drink at least 8 glasses (64 ounces) of water a day, and adjust based on activity level and climate, to stay hydrated, support bodily functions, and improve overall well-being",2024-12-19 00:00:00,Incomplete
