101,2,Increase Cardiovascular Endurance,"Aim for at least 30 minutes of moderate-intensity cardio, such as brisk walking or cycling, 5 times a week to boost your cardiovascular fitness and overall stamina",2022-01-02 00:00:00,Completed
102,39,Increase Daily Fiber Intake,"Include more fruits, vegetables, and whole grains in your diet, aiming for at least 25-30 grams of fiber daily to support digestive health and maintain steady blood sugar levels",2022-10-29 00:00:00,In Progress
103,4,Build Muscle Strength,"Incorporate strength training exercises, like weightlifting or bodyweight exercises, 2-3 times a week, focusing on all major muscle groups to increase muscle mass and strength",2023-06-16 00:00:00,Completed
104,9,Reduce Added Sugar Consumption,"Limit foods and beverages high in added sugars, like sodas and sugary snacks, and opt for natural sweeteners like fruit to help manage your weight and reduce the risk of chronic diseases",2022-01-13 00:00:00,Completed
105,11,Improve Flexibility,"Practice stretching or yoga routines for 15-20 minutes daily to enhance your flexibility, reduce muscle tension, and improve your range of motion",2022-07-10 00:00:00,Completed
106,18,Maintain Hydration,"Drink at least 8 glasses (64 ounces) of water a day, and adjust based on activity level and climate, to stay hydrated, support bodily functions, and improve overall well-being",2023-12-19 00:00:00,Completed
107,23,Increase Cardiovascular Endurance,"Aim for at least 30 minutes of moderate-intensity cardio, such as brisk walking or cycling, 5 times a week to boost your cardiovascular fitness and overall stamina",2023-05-14 00:00:00,Completed
108,27,Increase Daily Fiber Intake,"Include more fruits, vegetables, and whole grains in your diet, aiming for at least 25-30 grams of fiber daily to support digestive health and maintain steady blood sugar levels",2023-10-27 00:00:00,In Progress
109,40,Build Muscle Strength,"Incorporate strength training exercises, like weightlifting or bodyweight exercises, 2-3 times a week, focusing on all major muscle groups to increase muscle mass and strength",2023-09-19 00:00:00,In Progress
110,4,Reduce Added Sugar Consumption,"Limit foods and beverages high in added sugars, like sodas and sugary snacks, and opt for natural sweeteners like fruit to help manage your weight and reduce the risk of chronic diseases",2023-03-23 00:00:00,Completed
111,46,Improve Flexibility,"Practice stretching or yoga routines for 15-20 minutes daily to enhance your flexibility, reduce muscle tension, and improve your range of motion",2024-07-01 00:00:00,In Progress
112,32,Maintain Hydration,"Drink at least 8 glasses (64 ounces) of water a day, and adjust based on activity level and climate, to stay hydrated, support bodily functions, and improve overall well-being",2024-05-20 00:00:00,In Progress
113,1,Increase Cardiovascular Endurance,"Aim for at least 30 minutes of moderate-intensity cardio, such as brisk walking or cycling, 5 times a week to boost your cardiovascular fitness and overall stamina",2022-11-20 00:00:00,Completed
114,48,Increase Daily Fiber Intake,"Include more fruits, vegetables, and whole grains in your diet, aiming for at least 25-30 grams of fiber daily to support digestive health and maintain steady blood sugar levels",2024-05-22 00:00:00,In Progress
115,33,Build Muscle Strength,"Incorporate strength training exercises, like weightlifting or bodyweight exercises, 2-3 times a week, focusing on all major muscle groups to increase muscle mass and strength",2022-06-23 00:00:00,In Progress
116,11,Reduce Added Sugar Consumption,"Limit foods and beverages high in added sugars, like sodas and sugary snacks, and opt for natural sweeteners like fruit to help manage your weight and reduce the risk of chronic diseases",2023-10-19 00:00:00,Completed
117,16,Improve Flexibility,"Practice stretching or yoga routines for 15-20 minutes daily to enhance your flexibility, reduce muscle tension, and improve your range of motion",2024-11-29 00:00:00,Completed
118,48,Maintain Hydration,"Drink at least 8 glasses (64 ounces) of water a day, and adjust based on activity level and climate, to stay hydrated, support bodily functions, and improve overall well-being",2024-08-12 00:00:00,Completed
119,10,Increase Cardiovascular Endurance,"Aim for at least 30 minutes of moderate-intensity cardio, such as brisk walking or cycling, 5 times a week to boost your cardiovascular fitness and overall stamina",2023-11-05 00:00:00,Completed
120,20,Increase Daily Fiber Intake,"Include more fruits, vegetables, and whole grains in your diet, aiming for at least 25-30 grams of fiber daily to support digestive health and maintain steady blood sugar levels",2022-10-25 00:00:00,In Progress
121,29,Build Muscle Strength,"Incorporate strength training exercises, like weightlifting or bodyweight exercises, 2-3 times a week, focusing on all major muscle groups to increase muscle mass and strength",2024-04-29 00:00:00,Completed
122,14,Reduce Added Sugar Consumption,"Limit foods and beverages high in added sugars, like sodas and sugary snacks, and opt for natural sweeteners like fruit to help manage your weight and reduce the risk of chronic diseases",2024-04-28 00:00:00,In Progress
